"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"cade klubnik","Cade Klubnik",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,13,0.363636363636364,9.72727272727273,6.72727272727273,0.545454545454545,1.45454545454545,250,21.3636363636364,32.0909090909091,7.79036827195467,1.44594594594595,58.7545454545455,4685413,NA,NA,NA,NA,NA
"cade mcnamara","Cade McNamara",2025,"QB",8,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,25,0.25,5,4.375,0.75,0.875,161.5,15.375,23,7.02173913043478,1.14285714285714,NA,4427455,NA,NA,NA,NA,NA
"caden creel","Caden Creel",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.25,NA,NA,NA,73,0.5,81.0833333333333,12.5833333333333,0.3,0.8,124.5,10.4,17,7.32352941176471,6.44370860927152,61.74,5122157,NA,NA,NA,NA,NA
"caden drezek","Caden Drezek",2025,"QB",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-25,2,0.5,0,29,3.5,6.5,4.46153846153846,-12.5,NA,5153811,NA,NA,NA,NA,NA
"caden pinnick","Caden Pinnick",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0.6,1.4,NA,NA,NA,23,0.3,31.2,10.4,0.8,2.4,252.7,19.4,27.5,9.18909090909091,3,NA,5226019,NA,NA,NA,NA,NA
"caden veltkamp","Caden Veltkamp",2025,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,1,NA,NA,NA,18,0.333333333333333,3.75,6.75,1.41666666666667,2,304.333333333333,28.75,42.8333333333333,7.10505836575875,0.555555555555556,54.4916666666667,4869991,NA,NA,NA,NA,NA
"cadin olsen","Cadin Olsen",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5155371,NA,NA,NA,NA,NA
"cal swanson","Cal Swanson",2025,"QB",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,0.166666666666667,14.6666666666667,9.16666666666667,0.833333333333333,0.833333333333333,170.166666666667,14.3333333333333,27.1666666666667,6.26380368098159,1.6,NA,5075592,NA,NA,NA,NA,NA
"cale hellums","Cale Hellums",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1.5,NA,NA,NA,50,1.36363636363636,97.2727272727273,24.0909090909091,0.181818181818182,0.272727272727273,45.8181818181818,3.18181818181818,6.27272727272727,7.30434782608696,4.0377358490566,43.2,5150297,NA,NA,NA,NA,NA
"caleb koger","Caleb Koger",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0,0,-1,1,1,1.33333333333333,114,9.33333333333333,14.3333333333333,7.95348837209302,-1,NA,5152064,NA,NA,NA,NA,NA
"caleb mccreary","Caleb Mccreary",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,-15.5,3.5,0.666666666666667,0,20.3333333333333,1.33333333333333,3.33333333333333,6.1,-4.42857142857143,NA,5120906,NA,NA,NA,NA,NA
"caleb sanchez","Caleb Sanchez",2025,"QB",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,-0.333333333333333,2.33333333333333,0.25,0.5,105.5,9.75,19,5.55263157894737,-0.142857142857143,NA,5224816,NA,NA,NA,NA,NA
"cam fancher","Cam Fancher",2025,"QB",3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,25,0.333333333333333,56.6666666666667,10.3333333333333,0,0,111,13.6666666666667,24,4.625,5.48387096774194,51.3666666666667,4700135,NA,NA,NA,NA,NA
"cam ransom","Cam Ransom",2025,"QB",11,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1.4,NA,NA,NA,28,0.545454545454545,30.5454545454545,8.09090909090909,0.545454545454545,1.18181818181818,158.454545454545,12.0909090909091,19,8.33971291866029,3.7752808988764,NA,4565189,NA,NA,NA,NA,NA
"cam ron mccoy","Cam'Ron McCoy",2025,"QB",9,NA,NA,NA,NA,NA,NA,NA,NA,0,1.33333333333333,1.33333333333333,NA,NA,NA,69,0.4,23.9,5.1,0.222222222222222,0.555555555555556,77.5555555555556,5.66666666666667,12,6.46296296296296,4.68627450980392,NA,4917305,NA,NA,NA,NA,NA
"camden orth","Camden Orth",2025,"QB",9,NA,NA,NA,NA,NA,NA,NA,NA,0,0.333333333333333,1,NA,NA,NA,58,0.555555555555556,43.2222222222222,8.55555555555556,1,1.44444444444444,183.777777777778,13.6666666666667,24.2222222222222,7.58715596330275,5.05194805194805,NA,4577962,NA,NA,NA,NA,NA
"cameran brown","Cameran Brown",2025,"QB",10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,22,0.4,28.4,6.1,0.1,1.3,125.9,11.9,18.4,6.84239130434783,4.65573770491803,62.87,5193926,NA,NA,NA,NA,NA
