"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"taylor thompson",12,0,0,0,0,0,0,5,427,32,0,0,0,36,NA,13.34375,NA,"00-0029590","Taylor Thompson",2012,0.963636363636364,11
"teagan quitoriano",9,0,0,1,0,0,0,3,178,16,0,0,0,34,NA,11.125,NA,"00-0037277","Teagan Quitoriano",2022,4.32857142857143,7
"terrance ferguson",10,0,0,0,0,0,0,2,490,35,0,0,0,62,NA,14,NA,"00-0040737","Terrance Ferguson",2025,4.23076923076923,13
"theo johnson",11,0,0,0,0,0,0,6,325,32,0,0,0,34,NA,10.15625,NA,"00-0039847","Theo Johnson",2024,6.19090909090909,11
"tip reiman",11,0,0,0,0,0,0,3,203,19,0,0,0,42,NA,10.6842105263158,NA,"00-0039737","Tip Reiman",2024,1.2125,8
"tommy gallarda",5,0,0,0,0,0,0,3,63,7,0,0,0,17,NA,9,NA,"00-0028406","Tommy Gallarda",2012,0.34,5
"tommy hudson",6,0,0,0,0,0,0,0,73,8,0,0,0,18,NA,9.125,NA,"00-0036173","Tommy Hudson",2021,1.525,4
"tommy sweeney",11,0,0,0,0,0,0,3,348,32,0,0,0,37,NA,10.875,NA,"00-0035308","Tommy Sweeney",2019,3.88,5
"tommy tremble",9,0,0,0,0,0,0,0,176,17,0,4,1,27,4,10.3529411764706,4,"00-0037005","Tommy Tremble",2021,3.54,15
"travis kelce",12,0,0,0,0,0,0,7,599,40,0,0,0,78,NA,14.975,NA,"00-0030506","Travis Kelce",2014,11.075,16
"travis vokolek",8,0,0,0,0,0,0,2,240,20,0,0,0,56,NA,12,NA,"00-0038456","Travis Vokolek",2025,0,1
"tre mckitty",4,0,0,0,0,0,0,1,108,6,0,0,0,40,NA,18,NA,"00-0037011","Tre' McKitty",2021,1.75,6
"trevon wesco",9,0,0,0,0,0,0,1,352,24,0,0,0,43,NA,14.6666666666667,NA,"00-0035259","Trevon Wesco",2019,1.15,6
"trey mcbride",12,0,1,1,0,0,0,1,1121,90,1,69,1,50,69,12.4555555555556,69,"00-0037744","Trey McBride",2022,5.125,12
