"player_id","season","games","completions_pg","attempts_pg","passing_yards_pg","passing_tds_pg","passing_interceptions_pg","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","passing_air_yards_pg","passing_yards_after_catch_pg","passing_first_downs_pg","passing_epa_pg","passing_cpoe_pg","passing_2pt_conversions_pg","pacr_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","penalties_pg","penalty_yards_pg"
"00-0031237",2025,3,2.66666666666667,5,20.6666666666667,0,0,0.666666666666667,-7,0,0,32.6666666666667,17.3333333333333,0.666666666666667,-12.4985269496683,-16.2942066788673,0,0.63265306122449,1,1.33333333333333,0,0,0,0,-0.0062686945311725,0,0,0,0,0
"00-0031345",2025,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,NA,3,-3.33333333333333,0,0,0,0,0,0,0,0,0,0
"00-0031503",2025,3,12.3333333333333,22,189,0.666666666666667,0.666666666666667,1,-3.66666666666667,0.333333333333333,0.333333333333333,206.333333333333,70,8.66666666666667,5.13056699607754,-12.0524099794094,0,0.614016881140169,2.33333333333333,7.66666666666667,0.333333333333333,0,0,1,2.14406696955848,0,0,0,0,0
"00-0032268",2025,10,13.9,22.7,169.5,1,0.7,1.6,-10.7,0.3,0.1,229.5,63.9,8,-0.389857204396701,0.454255563996208,0.1,0.789819939598922,5,29.7,0.1,0.3,0.2,1.2,0.669584233178592,0,0,0,0.3,3
"00-0032434",2025,1,17,30,72,0,1,1,-7,0,0,109,80,3,-24.0283908552294,-13.0822396278381,0,0.660550458715596,0,0,0,0,0,0,NA,0,0,0,0,0
"00-0032950",2025,5,22,33.8,243.2,1.2,1,3.8,-25,0.4,0,257.6,114.6,11.6,1.26012059303057,0.601380786263977,0.2,1.00059672866424,2.2,11.4,0,0.2,0,1,-0.812067179024192,0,0.4,0.6,0.4,5.2
"00-0033077",2025,17,23.7647058823529,35.2941176470588,267.764705882353,1.76470588235294,0.588235294117647,1.82352941176471,-12.2352941176471,0.117647058823529,0.0588235294117647,282.882352941176,119,13,6.66449607087994,1.79289579947224,0.176470588235294,1.02831366131955,3.11764705882353,10.4117647058824,0.117647058823529,0.235294117647059,0.0588235294117647,1.11764705882353,-0.589446543861845,0,0.176470588235294,0.411764705882353,0,0
"00-0033106",2025,17,23.1176470588235,34,268.470588235294,2,0.470588235294118,2.23529411764706,-15.2352941176471,0.176470588235294,0.176470588235294,218.529411764706,142.470588235294,13.1764705882353,6.26236183762604,2.88962397438568,0,1.33726873639357,1.11764705882353,2.64705882352941,0,0.176470588235294,0.117647058823529,0.470588235294118,-1.31128573367736,0,0.0588235294117647,0.235294117647059,0.176470588235294,1.41176470588235
"00-0033119",2025,14,22.5,34.6428571428571,240.428571428571,1.64285714285714,0.571428571428571,3.07142857142857,-20.5714285714286,0.285714285714286,0.285714285714286,264.071428571429,111.214285714286,11.7857142857143,-0.24734087252734,-3.60324221626259,0.0714285714285714,0.847667296987586,2.71428571428571,12,0.0714285714285714,0.0714285714285714,0,1.21428571428571,0.621899656994496,0,0.0714285714285714,0.142857142857143,0.142857142857143,1.78571428571429
"00-0033319",2025,4,0.75,0.75,4.75,0,0,0,0,0,0,1,3.75,0.5,1.44988307552105,26.217644661665,0,1.33333333333334,3,-2,0,0,0,0,-0.614973064119112,0,0,0,0,0
"00-0033662",2025,4,8.5,13,75.75,0,1,0.25,-4,0,0,83.75,37.25,3.25,-6.28239072577945,-0.858828196225809,0,0.981204684885665,1,-1,0,0.25,0.25,0.25,-2.79056100622984,0,0,0.25,0,0
"00-0033869",2025,4,6.25,8.75,78.25,1,0,0,0,0,0,63.75,34,4.75,8.57815837388632,-4.20857554390319,0.25,1.09706165234776,2.25,1.5,0,0,0,0,-2.26529477773389,0,0,0,0,0
"00-0033873",2025,14,22.5,35.8571428571429,256.214285714286,1.57142857142857,0.785714285714286,2.42857142857143,-13.7857142857143,0.214285714285714,0,289.285714285714,135.357142857143,12.3571428571429,4.87478148401226,0.137741621895884,0.142857142857143,0.956912277774941,4.57142857142857,30.1428571428571,0.357142857142857,0,0,2,2.08317814056396,0,0.214285714285714,0.214285714285714,0.214285714285714,1.78571428571429
"00-0033949",2025,4,1.75,2.5,16.25,0,0,0,0,0,0,29.75,12,0.75,-0.0179857373116779,1.74683686345816,0,0.557307692307692,2.5,-1.25,0,0,0,0,-1.65816337004071,0,0,0,0,0
"00-0034577",2025,2,0,1,0,0,0,0,0,0,0,5,0,0,-1.35526536774439,-63.7493580579758,0,0,1.5,-1.5,0,0,0,0,0,0,0,0,0,0
"00-0034771",2025,6,6.5,8.83333333333333,52,0.333333333333333,0.333333333333333,0.333333333333333,-2,0.166666666666667,0.166666666666667,45.3333333333333,42.6666666666667,3,0.752133480034035,1.3676766591138,0,0.672529011604641,1.16666666666667,1,0,0,0,0.333333333333333,0.447057535716643,0,0,0,0,0
"00-0034796",2025,13,14.7692307692308,23.2307692307692,196.076923076923,1.61538461538462,0.538461538461538,2.76923076923077,-18.3846153846154,0.384615384615385,0.230769230769231,203.692307692308,81.8461538461538,8.46153846153846,1.39669401315032,2.90598636408004,0.0769230769230769,1.02423003185201,5.15384615384615,26.8461538461538,0.153846153846154,0,0,1.92307692307692,1.58528603008621,0,0.230769230769231,0.230769230769231,0.0769230769230769,1.23076923076923
"00-0034855",2025,17,20.1764705882353,31.9411764705882,217.235294117647,1.52941176470588,0.647058823529412,2.11764705882353,-13.7647058823529,0.588235294117647,0.176470588235294,259.176470588235,113.117647058824,10.1176470588235,0.0398559310161984,-2.474836641073,0.117647058823529,0.869587092067885,3.23529411764706,22.4705882352941,0.0588235294117647,0.0588235294117647,0,1.70588235294118,2.55153349089363,0,0.235294117647059,0.235294117647059,0,0
"00-0034857",2025,18,20.6666666666667,29.6666666666667,234.666666666667,1.61111111111111,0.666666666666667,2.44444444444444,-18.1666666666667,0.111111111111111,0.111111111111111,222,125.055555555556,11.3333333333333,4.78206253596631,3.32639260060718,0.0555555555555556,1.28460246327596,7.5,37.6666666666667,0.888888888888889,0.444444444444444,0.166666666666667,3.55555555555556,2.77388753043989,0,0.166666666666667,0.388888888888889,0.166666666666667,1.61111111111111
"00-0034869",2025,20,18.95,28.4,236,1.5,0.7,1.65,-11.85,0.35,0.25,227.8,103.25,10.85,4.91418400455367,5.87891544843731,0.1,1.09375985327993,2,5.45,0,0.2,0.05,0.75,-1.05231948862459,0,0.1,0.2,0.05,1.05
"00-0034955",2025,1,0,0,0,0,0,1,-2,0,0,0,0,0,-1.23787799407728,NA,0,NA,0,0,0,0,0,0,NA,0,0,0,0,0
"00-0035100",2025,5,16.2,25,154.2,1.2,1.6,1.8,-12,0.2,0,191.8,73.4,6.6,-7.67740777023196,6.01196624391737,0,0.972169956362813,1.8,7.8,0.2,0,0,1,1.69651491469995,0,0,0,0,0
"00-0035228",2025,5,22,32.2,192.4,1.2,0.6,3.2,-22.2,0,0,188.2,109,10,1.14411822514768,-0.0848231900596732,0,1.03911378600858,5.8,34.6,0.2,0.2,0.2,2.4,0.817749555234332,0,0,0.2,0.4,4.4
"00-0035264",2025,2,8.5,15.5,66.5,0.5,0.5,1.5,-15.5,0.5,0.5,91,36,4,-15.5339691230452,-5.82333251282021,0,0.730769230769231,2.5,11,0,0,0,0,0.024608375247367,0,0,0,0,0
"00-0035289",2025,4,1.5,3.25,9.25,0,0.25,0,0,0,0,17,7.75,0.5,-3.20734151345096,-14.6206216620547,0,0.539930555555556,1.5,0.5,0,0,0,0,-0.190330647397786,0,0,0,0,0
"00-0035704",2025,3,0.666666666666667,1,5,0,0,0,0,0,0,1.66666666666667,5.33333333333333,0.333333333333333,-0.892722808755934,-14.2897804578145,0,3,2,-1.66666666666667,0,0.666666666666667,0,0.666666666666667,-0.322316156700254,0,0.666666666666667,0.666666666666667,0,0
"00-0035710",2025,13,20.0769230769231,29.5384615384615,238.538461538462,1.46153846153846,0.615384615384615,1.69230769230769,-12.1538461538462,0.461538461538462,0.230769230769231,236.384615384615,103.923076923077,11.5384615384615,5.01965499981436,2.60371018204491,0.0769230769230769,1.05375499229294,3.46153846153846,12.6153846153846,0.384615384615385,0.153846153846154,0,1.61538461538462,1.24433905146503,0,0.230769230769231,0.230769230769231,0,0
