player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0029218,David Paulson,2012,10,240,7,33,75,246,NA,16,30,0,0,0,3,42.8,0.6,0,0,0,1.21,10,1
00-0034575,David Wells,2023,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.28571428571429,19,0.285714285714286,0,0,0,1,1,1
00-0039074,Davis Allen,2023,12,175,5,41,78,245,155,12,57,0,0,0,2.91666666666667,32.8333333333333,0.416666666666667,0,1,1,3.7875,8,1
00-0035689,Dawson Knox,2019,9,96,3,32,76,254,118,8,69,0,0,0,1.55555555555556,30.8888888888889,0,0,0,0,5.13125,16,1
00-0027827,Dedrick Epps,2012,9,235,7,28,75,250,NA,22,30,0,0,0,2.11111111111111,27.4444444444444,0.333333333333333,0,0,0,-0.1,1,1
00-0027714,Dennis Pitta,2010,12,114,4,16,77,245,66,3,78,0,0,0,4.75,65.3333333333333,0.583333333333333,0,0,0,0.275,4,1
00-0034319,Deon Yelder,2019,11,NA,NA,NA,NA,NA,NA,NA,NA,1,7.5,0.5,4.27272727272727,52.3636363636364,0.454545454545455,0,0,0,2.525,4,1
00-0036194,Devin Asiasi,2020,12,91,3,27,75,257,69,3,75,0,0,0,4,58.2727272727273,0.363636363636364,0,0,0,2.975,4,1
00-0039754,Devin Culp,2024,10,246,7,26,75,231,219,15,49,0,0,0,1.5,19.4,0.2,0,0,0,6.9,2,1
00-0030422,Dion Sims,2013,9,106,4,9,77,262,146,7,61,0,0,0,3.66666666666667,50.1111111111111,0.222222222222222,0,0,0,2.17142857142857,7,1
00-0028994,Dominique Jones,2012,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,13.5,0,0,0,0,0.9,2,1
00-0027819,Dorin Dickerson,2010,11,227,7,20,73,226,NA,14,50,0,0,0,4.09090909090909,46.1818181818182,0.909090909090909,0,0,0,0,2,1
00-0040628,Drake Dabney,2025,8,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,15,0,0,0,0,1.3,1,1
00-0035631,Drew Sample,2019,11,52,2,20,77,255,72,5,77,0,0,0,2.44444444444444,27.1111111111111,0.222222222222222,0,0,0,1.6,5,1
00-0034798,Durham Smythe,2018,9,123,4,23,77,253,186,13,55,0,0,0,1.625,29.25,0.125,0,0,0,1.375,8,1
00-0029689,Dwayne Allen,2012,13,64,3,1,75,255,55,2,83,0,0,0,3.69230769230769,44.3846153846154,0.615384615384615,0,0,0,7.79375,16,1
00-0031968,E.J. Bibbs,2015,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.5,38.2,0.8,0,0,0,0.85,2,1
00-0027675,Ed Dickson,2010,11,70,3,6,76,249,91,6,72,0,0,0,3.81818181818182,50.0909090909091,0.545454545454545,0,0,0,2.22666666666667,15,1
00-0040739,Elijah Arroyo,2025,11,50,2,18,77,250,36,3,87,0,0,0,2.81818181818182,47.8181818181818,0.545454545454545,0,0,0,2.83846153846154,13,1
00-0033514,Emanuel Byrd,2017,11,NA,NA,NA,NA,NA,NA,NA,NA,1,-3,0,2.36363636363636,22,0.272727272727273,0,0,0,5.1,1,1
00-0031387,Eric Ebron,2014,12,10,1,10,76,250,11,1,92,2,7,0,4.58333333333333,74.5833333333333,0.25,0,0,0,4.68461538461538,13,1
00-0031690,Eric Tomlinson,2016,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.57142857142857,18.2857142857143,0.142857142857143,0,0,0,0,1,1
00-0039814,Erick All,2024,7,115,4,15,76,252,174,11,55,0,0,0,3,42.7142857142857,0.428571428571429,0,1,1,4.475,8,1
00-0034672,Ethan Wolf,2021,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.4,24.6,0.3,0,0,0,2.8,1,1
00-0033763,Evan Baylis,2017,6,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,11.3333333333333,0.166666666666667,0,0,0,0,1,1
00-0033881,Evan Engram,2017,11,23,1,23,75,234,21,3,90,0,0,0,5.90909090909091,84.1818181818182,0.727272727272727,0,0,0,11.5733333333333,15,1
00-0029276,Evan Rodriguez,2012,10,111,4,16,74,239,222,8,41,0,0,0,3.2,42.4,0.2,0,0,0,0.871428571428571,7,1
00-0027769,Fendi Onobun,2010,2,170,6,1,78,248,NA,20,31,0,0,0,1,16.5,0.5,0,0,0,1.75,2,1
00-0034981,Foster Moreau,2019,9,137,4,35,76,253,148,9,64,0,0,0,2.22222222222222,27.7777777777778,0.222222222222222,0,0,0,6.21818181818182,11,1
00-0031884,Gabe Holmes,2017,10,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.7,17.8,0.2,0,0,0,0,1,1
00-0028903,Garrett Celek,2012,4,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,11.6666666666667,0.333333333333333,0,0,0,1.82,5,1
00-0027718,Garrett Graham,2010,11,118,4,20,75,243,NA,11,60,0,0,0,4.09090909090909,49.7272727272727,0.636363636363636,0,0,0,0,2,1
00-0033095,Garrett Griffin,2017,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.4,41.6,0.6,0,0,0,0.7,2,1
00-0030544,Gavin Escobar,2013,12,47,2,15,78,254,59,3,81,2,7,0,3.72727272727273,47.1818181818182,0.545454545454545,0,0,0,3.82222222222222,9,1
00-0032141,Geoff Swaim,2015,6,246,7,29,76,252,NA,32,30,0,0,0,1.66666666666667,11.6666666666667,0.166666666666667,0,0,0,0.5,2,1
00-0033288,George Kittle,2017,8,146,5,2,76,247,123,10,68,0,0,0,2.625,37,0.5,0,0,1,7.1,15,1
00-0032190,Gerald Christian,2016,12,256,7,39,75,244,253,15,39,0,0,0,2.5,29.9166666666667,0.333333333333333,0,0,0,2.4,1,1
00-0033895,Gerald Everett,2017,12,44,2,12,75,239,96,7,73,0,0,0,4.08333333333333,59.75,0.333333333333333,0,0,1,3.54,15,1
00-0035956,Giovanni Ricci,2021,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.91666666666667,51.8333333333333,0.666666666666667,0,0,0,0,8,1
00-0037086,Grant Calcaterra,2022,11,198,6,20,76,241,282,16,42,0,0,0,3.45454545454545,42.2727272727273,0.363636363636364,0,0,0,2.18333333333333,6,1
00-0037252,Greg Dulcich,2022,10,80,3,16,76,243,69,2,79,0,0,0,3.81818181818182,65.9090909090909,0.454545454545455,0,0,0,8.61,10,1
00-0040584,Gunnar Helm,2025,12,120,4,18,77,241,79,6,76,0,0,0,4,50,0.416666666666667,0,0,0,5.73125,16,1
00-0035025,Hale Hentges,2019,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.5,16.5,1,0,0,0,4.86,5,1
00-0036232,Harrison Bryant,2020,12,115,4,9,77,243,77,4,74,0,0,0,5.08333333333333,80.4166666666667,0.5,0,0,1,4.75384615384615,13,1
