"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg","target_season","target_fp_ppr","target_games"
"00-0004112",2005,"James Dearth",2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,0,0,2006,0,2
"00-0004112",2006,"James Dearth",2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,NA,0,0,0,0,0,2007,0,3
"00-0004637",2004,"Jason Dunn",11,0,0,0,0,0,0,0,0,0,0,NA,0,1.54545454545455,0,10.9090909090909,0.272727272727273,0,0,0,0,0.727272727272727,1.34712477912597,0,0,0,NA,NA,0,0,0,0.272727272727273,2.72727272727273,2005,1.47142857142857,7
"00-0004637",2005,"Jason Dunn",7,0,0,0,0,0,0,0,0,0,0,NA,0,0.714285714285714,0,7.57142857142857,0,0,0,0,0,0.285714285714286,0.733477160451002,0,0,NA,NA,NA,0,0,0,0.428571428571429,3.57142857142857,2006,1.33333333333333,6
"00-0004637",2006,"Jason Dunn",6,0,0,0,0,0,0,0,0,0,0,NA,0,0.666666666666667,0,6.66666666666667,0,0,0,0,3.33333333333333,0.5,1.59501941436126,0,0,NA,0,NA,0,0,0,0.666666666666667,3.5,2007,0.58,5
"00-0005101",2004,"Christian Fauria",11,0,0,0,0,0,0,0,0,0,0,NA,0,1.45454545454545,0,17.7272727272727,0.181818181818182,0,0,0,0,0.818181818181818,1.96013952014942,0,0,0,NA,NA,0.0909090909090909,0.0909090909090909,0,0.272727272727273,1.81818181818182,2005,3.67142857142857,7
"00-0005101",2005,"Christian Fauria",7,0,0,0,0,0,0,0,0,0,0,NA,0,1.14285714285714,0,8.14285714285714,0.285714285714286,0,0,0,0,1,1.47468040355891,0,0,NA,NA,NA,0,0,0,0.428571428571429,1.71428571428571,2006,1.23333333333333,3
"00-0005101",2006,"Christian Fauria",3,0,0,0,0,0,0,0,0,0,0,NA,0,0.666666666666667,0,5.66666666666667,0,0,0,0,4,0.333333333333333,0.339485236559995,0,0,NA,0,NA,0,0,0,0.666666666666667,6.66666666666667,2007,4.18,5
"00-0006101",2004,"Tony Gonzalez",16,0,0,0,0,0.0625,0.3125,0,0,0,0,0.211839926079847,0,6.375,0,78.625,0.4375,0,0,0,0,4.3125,6.74565340639146,0,0,0,NA,NA,0.0625,0.0625,0,0.25,1.5625,2005,11.28125,16
"00-0006101",2005,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,4.875,0,56.5625,0.125,0,0,0,0,2.8125,4.47622743937704,0,0,NA,NA,NA,0.0625,0.0625,0,0.4375,3.125,2006,13,15
"00-0006101",2006,"Tony Gonzalez",15,0,0,0,0,0,0,0,0,0,0,NA,0,4.86666666666667,0,60,0.333333333333333,0.0666666666666667,0,0,21.2666666666667,3.6,6.02400190068584,0.0666666666666667,0,NA,0,NA,0,0,0,0.333333333333333,2.33333333333333,2007,15.3875,16
"00-0006101",2007,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,6.1875,0,73.25,0.3125,0,0,0,18.5,3.6875,5.72681320959328,0,0,NA,0,NA,0,0,0,0.5625,4.375,2008,16.3625,16
"00-0006101",2008,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,6,0,66.125,0.625,0,0,0,15.75,4.1875,6.31723106079695,0,0,NA,0,NA,0.0625,0.0625,0,0.25,2.1875,2009,12.85625,16
"00-0006101",2009,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,5.1875,8.4375,54.1875,0.375,0,0,67.625,15,3.375,2.52694077505231,0,0.768921416542882,0.242134336733354,0.230466188791805,0.524527837254294,0,0,0,0.1875,1.25,2010,10.725,16
"00-0006101",2010,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,4.375,6.75,41,0.375,0,0,52.6875,11.9375,2.4375,1.55801782407585,0,0.815296074188193,0.191699877223749,0.182135260967691,0.415044498513008,0,0,0,0.125,0.625,2011,13.09375,16
"00-0006101",2011,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,5,7.25,54.6875,0.4375,0,0,64.8125,15.1875,3.3125,2.83884024988125,0,0.937787526232388,0.198471130315123,0.191212129605644,0.431555186196636,0,0,0,0,0,2012,14.625,16
"00-0006101",2012,"Tony Gonzalez",16,0,0,0,0,0,0,0,0,0,0,NA,0,5.8125,7.75,58.125,0.5,0,0,60.3125,15.75,4.0625,3.82022896886563,0,1.02199312281856,0.198193573126655,0.199916416050548,0.437231850925366,0,0,0,0.1875,1.25,2013,13.68125,16
"00-0006666",2004,"Lamont Hall",4,0,0,0,0,0,0,0,0,0,0,NA,0,0.25,0,1,0.25,0,0,0,0,0.25,2.16918040910969,0,0,NA,NA,NA,0,0,0,0.25,3.75,2005,1.2,8
