"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","receiving_td_pg","receiving_yds_pg","receiving_rec_pg","rushing_td_pg","rushing_yds_pg","rushing_car_pg","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"brock schott","Brock Schott",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24,2,NA,NA,NA,14,NA,12,NA,NA,NA,NA,NA,NA
"brody dalton","Brody Dalton",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,3,NA,NA,NA,10,NA,7.33333333333333,NA,NA,NA,NA,NA,NA
"brody eaton","Brody Eaton",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA
"brody foley","Brody Foley",2025,"TE",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636363636363636,47.3636363636364,3.27272727272727,0.666666666666667,4,1.66666666666667,72,5,14.4722222222222,2.4,NA,NA,NA,NA,NA
"brody judd","Brody Judd",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21.5,1,NA,NA,NA,27,NA,21.5,NA,NA,NA,NA,NA,NA
"brody perkins","Brody Perkins",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
"brooks johnson","Brooks Johnson",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,14.5,1.83333333333333,NA,NA,NA,22,NA,7.90909090909091,NA,NA,NA,NA,NA,NA
"brooks kleinpeter","Brooks Kleinpeter",2025,"TE",7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,NA,NA,NA,0.166666666666667,11.6666666666667,1.16666666666667,NA,NA,NA,26,NA,10,NA,NA,NA,NA,NA,NA
"brown norton","Brown Norton",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA
"bruin fleischmann","Bruin Fleischmann",2025,"TE",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.545454545454545,33.6363636363636,1.90909090909091,NA,NA,NA,68,NA,17.6190476190476,NA,NA,NA,NA,NA,NA
"bryce anderson","Bryce Anderson",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.3333333333333,1.83333333333333,NA,NA,NA,13,NA,7.81818181818182,NA,NA,NA,NA,NA,NA
"bryce butler","Bryce Butler",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.6,1.6,NA,NA,NA,19,NA,9.75,NA,NA,NA,NA,NA,NA
"bryce caufield","Bryce Caufield",2025,"TE",8,NA,NA,NA,NA,NA,NA,NA,NA,0,0.5,1,NA,NA,NA,0.125,27.375,3.625,NA,NA,NA,30,NA,7.55172413793103,NA,NA,NA,NA,NA,NA
"bryce cowgill","Bryce Cowgill",2025,"TE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5.66666666666667,1,NA,NA,NA,11,NA,5.66666666666667,NA,NA,NA,NA,NA,NA
"brycen coleman","Brycen Coleman",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,22.3333333333333,1,0,8,1,54,8,22.3333333333333,8,NA,NA,NA,NA,NA
"bryson dickerson","Bryson Dickerson",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.125,25.875,2.375,0,4,1,41,4,10.8947368421053,4,NA,NA,NA,NA,NA
"burke carroll","Burke Carroll",2025,"TE",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14.3333333333333,1.33333333333333,NA,NA,NA,27,NA,10.75,NA,NA,NA,NA,NA,NA
"cade callahan","Cade Callahan",2025,"TE",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,27.9,1.9,0,9,1,50,9,14.6842105263158,9,NA,NA,NA,NA,NA
"cade collier","Cade Collier",2025,"TE",11,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0.5,0.5,NA,NA,NA,0.2,17.3,1.6,NA,NA,NA,33,NA,10.8125,NA,NA,NA,NA,NA,NA
"cade conley","Cade Conley",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,0.2,11,1.6,NA,NA,NA,15,NA,6.875,NA,NA,NA,NA,NA,NA
"cade cox","Cade Cox",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.88888888888889,1.11111111111111,NA,NA,NA,21,NA,6.2,NA,NA,NA,NA,NA,NA
"cade keith","Cade Keith",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,28.1111111111111,2.22222222222222,NA,NA,NA,45,NA,12.65,NA,NA,NA,NA,NA,NA
"caden allard","Caden Allard",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6,1,NA,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA
"caden frey","Caden Frey",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11,1.5,NA,NA,NA,8,NA,7.33333333333333,NA,NA,NA,NA,NA,NA
"caden jensen","Caden Jensen",2025,"TE",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111111111111111,17.6666666666667,2.77777777777778,NA,NA,NA,27,NA,6.36,NA,NA,NA,NA,NA,NA
"caden rose","Caden Rose",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5,1,NA,NA,NA,5,NA,5,NA,NA,NA,NA,NA,NA
"cael vanderbush","Cael Vanderbush",2025,"TE",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"caeleb schlachter","Caeleb Schlachter",2025,"TE",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11.3333333333333,2,NA,NA,NA,13,NA,5.66666666666667,NA,NA,NA,NA,NA,NA
"caleb ryan","Caleb Ryan",2025,"TE",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,1.33333333333333,NA,NA,NA,56,NA,21.75,NA,NA,NA,NA,NA,NA
"camden etheredge","Camden Etheredge",2025,"TE",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,14,1,NA,NA,NA,14,NA,14,NA,NA,NA,NA,NA,NA
"camden lewis","Camden Lewis",2025,"TE",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,9.2,1.6,NA,NA,NA,12,NA,5.75,NA,NA,NA,NA,NA,NA
