player_key,nfl_player_id,nfl_name,nfl_rookie_season,cfb_projected_ppr,avg_weekly_ppr,n_weeks
sam darnold,00-0034869,Sam Darnold,2018,13.068182094051835,12.9307692307692,13
sam ehlinger,00-0036879,Sam Ehlinger,2021,3.9582091544162807,0.3,3
sam howell,00-0037077,Sam Howell,2022,7.656749067216534,18.26,1
scott tolzien,00-0028595,Scott Tolzien,2013,7.603487890450495,11.3933333333333,3
sean clifford,00-0038391,Sean Clifford,2023,4.1624011467731075,0.64,2
sean mannion,00-0032245,Sean Mannion,2015,4.201612284329706,1.24,1
sean renfree,00-0030569,Sean Renfree,2015,3.4577017807581343,-0.98,2
shane buechele,00-0036679,Shane Buechele,2025,6.041907507088281,3.92,1
shedeur sanders,00-0040668,Shedeur Sanders,2025,8.670475947847557,10.6125,8
spencer rattler,00-0039376,Spencer Rattler,2024,6.835970744676623,9.61142857142857,7
t j yates,00-0028090,T.J. Yates,2011,7.032084545959914,6.885,8
tanner mckee,00-0038400,Tanner McKee,2024,7.251308518930602,14.41,2
taylor heinicke,00-0031800,Taylor Heinicke,2017,3.9475612563023867,0.6,1
teddy bridgewater,00-0031237,Teddy Bridgewater,2014,11.814993282172125,13.82,13
tim boyle,00-0034177,Tim Boyle,2019,3.596106570062409,-0.0333333333333333,3
tom savage,00-0031064,Tom Savage,2014,3.367689750519014,0.24,2
tommy devito,00-0038476,Tommy DeVito,2023,6.9704733758150965,10.3933333333333,9
tommy stevens,00-0036433,Tommy Stevens,2020,3.3720434560537873,2.4,1
trace mcsorley,00-0035146,Trace McSorley,2019,2.993356315881374,0.1,1
trevone boykin,00-0032462,Trevone Boykin,2016,4.3709175996656,1.975,4
trevor lawrence,00-0036971,Trevor Lawrence,2021,13.501089397780863,11.7082352941176,17
trevor siemian,00-0032156,Trevor Siemian,2015,3.3162772746184594,-0.1,1
tua tagovailoa,00-0036212,Tua Tagovailoa,2020,14.829199992883536,13.546,10
tyler bray,00-0030151,Tyler Bray,2017,3.834820244689986,-2.0,1
tyler huntley,00-0035993,Tyler Huntley,2020,6.802601313005361,2.83333333333333,3
tyler shough,00-0040743,Tyler Shough,2025,10.57131431729136,14.36,11
tyrod taylor,00-0028118,Tyrod Taylor,2011,3.944980436672928,0.46,2
will grier,00-0035251,Will Grier,2019,4.603947026373249,0.66,2
will levis,00-0039152,Will Levis,2023,10.394170426241493,11.3355555555556,9
zach mettenberger,00-0031266,Zach Mettenberger,2014,7.528885378244086,10.1257142857143,7
zach wilson,00-0037013,Zach Wilson,2021,14.43155459319324,11.6815384615385,13
