"player_key","athlete_name","season","position","games","overall","round","pick","height","weight","pre_draft_ranking","pre_draft_position_ranking","pre_draft_grade","fumbles_rec_pg","fumbles_lost_pg","fumbles_fum_pg","interceptions_td_pg","interceptions_yds_pg","interceptions_int_pg","rushing_long","rushing_td_pg","rushing_yds_pg","rushing_car_pg","passing_int_pg","passing_td_pg","passing_yds_pg","passing_completions_pg","passing_attempts_pg","passing_avg","rushing_avg","passing_qbr","athlete_id","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"chris oladokun","Chris Oladokun",2021,"QB",5,241,7,20,74,195,NA,NA,NA,0,0.75,1,NA,NA,NA,11,1,19,2,0,2,224,18,28,8,9.5,NA,4044111,"00-0037324","Chris Oladokun",2024,0.5,1
"christian ponder","Christian Ponder",2010,"QB",11,12,1,12,74,229,45,5,85,NA,NA,NA,NA,NA,NA,18,0.363636363636364,16.0909090909091,8.63636363636364,0.727272727272727,1.81818181818182,185.272727272727,16.6363636363636,26.7272727272727,6.93197278911565,1.86315789473684,59.6545454545455,183733,"00-0027950","Christian Ponder",2011,10.7290909090909,11
"clayton tune","Clayton Tune",2022,"QB",12,139,5,5,75,220,188,9,50,0,0.8,1.2,NA,NA,NA,55,0.416666666666667,41,9.75,0.833333333333333,3.08333333333333,320.416666666667,26.3333333333333,39.0833333333333,8.19829424307036,4.20512820512821,70.9333333333333,4360175,"00-0038582","Clayton Tune",2023,1.24666666666667,6
"cody kessler","Cody Kessler",2015,"QB",13,93,3,30,73,220,209,10,50,NA,NA,NA,NA,NA,NA,21,0.307692307692308,-10.1538461538462,4.30769230769231,0.461538461538462,2.15384615384615,255,21.5384615384615,31.8461538461538,8.00724637681159,-2.35714285714286,61.8923076923077,513329,"00-0033104","Cody Kessler",2016,8.55555555555556,9
"colin kaepernick","Colin Kaepernick",2010,"QB",13,36,2,4,77,233,57,7,81,NA,NA,NA,NA,NA,NA,59,1.53846153846154,91.0769230769231,12.6153846153846,0.538461538461538,1.53846153846154,217.692307692308,16.3846153846154,25.0769230769231,8.68098159509202,7.21951219512195,85.9615384615385,183575,"00-0027974","Colin Kaepernick",2011,0.6,2
"connor cook","Connor Cook",2015,"QB",12,100,4,2,76,217,40,4,84,NA,NA,NA,NA,NA,NA,22,0,7.27272727272727,4.09090909090909,0.416666666666667,2,243.416666666667,17.5,30.75,7.9159891598916,1.77777777777778,71.3333333333333,512705,"00-0032893","Connor Cook",2016,5.22,2
"connor shaw","Connor Shaw",2013,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,0.416666666666667,42.5833333333333,11.5,0.0833333333333333,1.75,177.916666666667,13.1666666666667,21.5833333333333,8.24324324324324,3.70289855072464,66.5833333333333,504292,"00-0030661","Connor Shaw",2014,3.98,1
"cooper rush","Cooper Rush",2016,"QB",12,NA,NA,NA,NA,NA,NA,NA,NA,0,0.4,1.2,NA,NA,NA,29,0.0833333333333333,-1.08333333333333,5.16666666666667,1.08333333333333,1.91666666666667,274.916666666667,21.1666666666667,34.6666666666667,7.93028846153846,-0.209677419354839,59.6916666666667,531455,"00-0033662","Cooper Rush",2017,0.69,2
"dak prescott","Dak Prescott",2015,"QB",12,135,4,37,74,226,230,12,48,NA,NA,NA,NA,NA,NA,49,0.833333333333333,45.0833333333333,12.3333333333333,0.333333333333333,2.08333333333333,284.416666666667,24.25,36.25,7.84597701149425,3.65540540540541,65.875,512030,"00-0033077","Dak Prescott",2016,18.3682352941176,17
"daniel jones","Daniel Jones",2018,"QB",10,6,1,6,77,221,59,6,80,0,1,1.25,NA,NA,NA,68,0.2,32.5,9.8,0.7,1.7,225.1,20.7,35.1,6.41310541310541,3.31632653061224,NA,3917792,"00-0035710","Daniel Jones",2019,16.5369230769231,13
