player_key,nfl_player_id,nfl_name,nfl_rookie_season,cfb_projected_ppr,avg_weekly_ppr,n_weeks
nick muse,00-0037317,Nick Muse,2023,2.3163097896694707,3.2,1
nick o leary,00-0032117,Nick O'Leary,2015,2.7210784616524206,1.56666666666667,3
nick vannett,00-0032394,Nick Vannett,2016,3.054131541607972,2.06666666666667,3
noah fant,00-0035644,Noah Fant,2019,6.931599439067434,6.9375,16
noah gray,00-0036637,Noah Gray,2021,2.7274165034807405,2.22222222222222,9
noah togiai,00-0036005,Noah Togiai,2020,1.6294403956051928,0.0,1
o j howard,00-0033879,O.J. Howard,2017,6.559327866373272,7.78461538461538,13
oronde gadsden ii,00-0040189,Oronde Gadsden II,2025,5.033357734432169,8.5875,16
orson charles,00-0029414,Orson Charles,2012,2.839798345434463,1.50833333333333,12
pat freiermuth,00-0036894,Pat Freiermuth,2021,6.112048544389984,9.30588235294118,17
payne durham,00-0039050,Payne Durham,2023,2.5608981471000245,1.7,8
peyton hendershot,00-0037569,Peyton Hendershot,2022,2.4198801595212713,3.03846153846154,13
pharaoh brown,00-0033439,Pharaoh Brown,2019,1.7283216058769797,0.671428571428571,7
princeton fant,00-0038735,Princeton Fant,2024,1.5961400613219607,0.0,1
quintin morris,00-0036590,Quintin Morris,2022,1.7630406644441106,2.2,11
randall telfer,00-0031533,Randall Telfer,2016,2.075198135052079,0.48,5
rhett ellison,00-0029587,Rhett Ellison,2012,2.123466636233718,1.03846153846154,13
richard gordon,00-0028119,Richard Gordon,2011,1.4822690076241607,0.15,8
rob housler,00-0028007,Rob Housler,2011,2.12238035859549,2.58888888888889,9
ross dwelley,00-0034073,Ross Dwelley,2018,1.7929599274999874,1.13333333333333,3
ryan griffin,00-0030108,Ryan Griffin,2013,2.6462490512848813,4.49090909090909,11
ryan izzo,00-0034439,Ryan Izzo,2019,2.8853653084188142,3.9,6
ryan malleck,00-0032650,Ryan Malleck,2017,1.4153133746983575,1.3,1
ryan taylor,00-0028156,Ryan Taylor,2011,1.906805723668983,0.74,10
sam laporta,00-0039065,Sam LaPorta,2023,7.779238396818845,14.195,20
sean culkin,00-0033696,Sean Culkin,2018,2.0508892249714963,1.7,2
sean mckeon,00-0036032,Sean McKeon,2020,1.132235447292678,0.0,1
stephen anderson,00-0032725,Stephen Anderson,2016,2.0368115699955087,2.39090909090909,11
stephen sullivan,00-0036438,Stephen Sullivan,2020,1.9944147234016394,0.0,1
t j hockenson,00-0035229,T.J. Hockenson,2019,7.41635883995952,6.725,12
taylor thompson,00-0029590,Taylor Thompson,2012,1.8319843004805816,0.963636363636364,11
teagan quitoriano,00-0037277,Teagan Quitoriano,2022,3.017317346339403,4.32857142857143,7
terrance ferguson,00-0040737,Terrance Ferguson,2025,4.634181654817206,4.23076923076923,13
theo johnson,00-0039847,Theo Johnson,2024,4.122592217656008,6.19090909090909,11
tip reiman,00-0039737,Tip Reiman,2024,2.6279141291132415,1.2125,8
tommy gallarda,00-0028406,Tommy Gallarda,2012,1.6786091270482415,0.34,5
tommy hudson,00-0036173,Tommy Hudson,2021,1.2197105930343484,1.525,4
tommy sweeney,00-0035308,Tommy Sweeney,2019,3.1880889801843404,3.88,5
tommy tremble,00-0037005,Tommy Tremble,2021,2.9915021903826604,3.54,15
travis kelce,00-0030506,Travis Kelce,2014,6.095931219150877,11.075,16
travis vokolek,00-0038456,Travis Vokolek,2025,1.286724439338,0.0,1
tre mckitty,00-0037011,Tre' McKitty,2021,2.6400697100136066,1.75,6
trevon wesco,00-0035259,Trevon Wesco,2019,2.588963113200673,1.15,6
trey mcbride,00-0037744,Trey McBride,2022,6.39282725153714,5.125,12
troy fumagalli,00-0034393,Troy Fumagalli,2019,3.00363277280487,2.63333333333333,6
troy niklas,00-0031044,Troy Niklas,2014,3.597174609306938,1.7,4
tucker fisk,00-0037654,Tucker Fisk,2023,1.5989381587364133,0.95,2
tucker kraft,00-0038996,Tucker Kraft,2023,4.62268686217182,5.74375,16
tyler conklin,00-0034270,Tyler Conklin,2018,3.5566097892702317,3.175,4
tyler davis,00-0036250,Tyler Davis,2020,1.9910892349460199,0.0,1
tyler eifert,00-0030549,Tyler Eifert,2013,7.146728498008313,5.96875,16
tyler higbee,00-0033110,Tyler Higbee,2016,3.636724140775953,2.125,12
tyler kroft,00-0032214,Tyler Kroft,2015,2.8581974573734263,2.3,13
tyler mabry,00-0036059,Tyler Mabry,2022,2.619783781693667,7.7,1
tyler warren,00-0040128,Tyler Warren,2025,8.5167653504535,11.0882352941176,17
virgil green,00-0028142,Virgil Green,2011,3.220528250509405,0.675,8
will dissly,00-0034159,Will Dissly,2018,3.983731184850291,8.9,4
will mallory,00-0038394,Will Mallory,2023,3.581362272519529,3.51818181818182,11
will tye,00-0032004,Will Tye,2015,3.390383223504867,8.03076923076923,13
xavier grimble,00-0031035,Xavier Grimble,2016,2.4364331977349587,4.35,8
zach ertz,00-0030061,Zach Ertz,2013,7.3512175104278334,7.38125,16
zach gentry,00-0035222,Zach Gentry,2019,2.6706063349621827,0.7,2
zach sudfeld,00-0029999,Zach Sudfeld,2013,1.7884475864801646,2.26,5
zaire mitchell paden,00-0037340,Zaire Mitchell-Paden,2025,1.2351124256958967,1.23333333333333,3
