"player_id","season","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0033288",2025,12,0,0,0,0,0.0833333333333333,-0.25,0,0,0,0,-0.98971250851173,0,4.83333333333333,5.91666666666667,52.8333333333333,0.583333333333333,0,0,39.6666666666667,21.1666666666667,3.16666666666667,3.82070546368831,0,1.3868104981712,0.20221858609263,0.174526739304468,0.425496596652073,0,0,0,0,0
"00-0033357",2025,13,0,0,0,0,4,8.76923076923077,0.0769230769230769,0.153846153846154,0.0769230769230769,1.30769230769231,-1.18489606133008,0,0.846153846153846,1.23076923076923,7,0,0,0,4.15384615384615,6.61538461538461,0.153846153846154,-0.0595007947742277,0,2.45714285714286,0.0360218692911855,0.011941749093065,0.0623920283019237,0.153846153846154,0.153846153846154,0,0.153846153846154,1.46153846153846
"00-0033439",2025,5,0,0,0,0,0,0,0,0,0,0,NA,0,0.4,0.4,0.2,0,0,0,0.2,0,0,-0.885376922233263,0,1,0.0105263157894737,0.00078125,0.0163363486842105,0,0,0,0.6,4.8
"00-0033455",2025,5,0,0,0,0,0,0,0,0,0,0,NA,0,1.6,2,10.6,0,0,0,7,2.4,0.8,0.327124766132329,0,1.13529411764706,0.0528068540860532,0.0244499590823288,0.0963252524867099,0,0,0,0,0
"00-0033576",2025,10,0,0,0,0,0,0,0,0,0,0,NA,0,0.4,0.7,3.1,0,0,0,2.8,1.6,0.2,0.510069787971836,0.1,1.0625,0.0272610722610722,0.0181066900792449,0.0535662914470798,0.1,0.1,0,0.4,3
"00-0033757",2025,2,0,0,0,0,0,0,0,0,0,0,NA,0,0.5,0.5,0.5,0,0,0,0.5,0,0,-0.518533631926402,0,1,0.0116279069767442,0.00154320987654321,0.0185221073786965,0,0,0,0,0
"00-0033858",2025,18,0,0,0,0,0.5,3.88888888888889,0.0555555555555556,0,0,0.166666666666667,0.641170564582959,0,2.22222222222222,3.16666666666667,12.2777777777778,0.111111111111111,0.0555555555555556,0,13.7222222222222,10.1111111111111,0.611111111111111,-0.0548293331853813,0,1.63880811396701,0.105619254599461,0.0650228656369875,0.203944887845082,0.0555555555555556,0.0555555555555556,0,0.277777777777778,1.94444444444444
"00-0033881",2025,18,0,0,0,0,0.0555555555555556,0.388888888888889,0,0,0,0,0.254432351794094,0,2.94444444444444,4.55555555555556,27.0555555555556,0.0555555555555556,0,0,19.3333333333333,17.7222222222222,1.11111111111111,-0.151332174428644,0,4.93522760081802,0.131818077685655,0.134276437532126,0.291720622800971,0,0,0,0.111111111111111,0.833333333333333
"00-0033885",2025,11,0,0,0,0,0,0,0,0,0,0,NA,0,3,4.36363636363636,26.6363636363636,0.363636363636364,0,0,23,14.5454545454545,1,-0.328615667589798,0,1.44440708958447,0.124668126378154,0.0914888282676244,0.251044369354568,0,0,0,0,0
"00-0034073",2025,4,0,0,0,0,0,0,0,0,0,0,NA,0,0.5,1.25,1.75,0,0,0,0.25,1.75,0,-0.854765268876995,0,1.5,0.04365479390681,0.00147058823529412,0.0665116026249209,0,0,0,0,0
"00-0034159",2025,8,0,0,0,0,0,0,0,0,0,0,NA,0,1.375,2,12.125,0,0,0,9,8.25,0.625,0.350040615051151,0,3.4223536036036,0.0605393867027385,0.0259596349876688,0.108980824545476,0,0,0,0.125,1.25
