"player_id","season","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0035243",2025,4,0,0,0,0,5,29.25,0.25,0.25,0.25,1.5,-0.471849556823144,0,2,2,7.5,0,0,0,-3.5,11,0,-0.378717317495892,0,-0.240476190476191,0.0473944914734388,-0.00839414441692435,0.0652158361183112,0,0,0,0,0
"00-0035250",2025,17,0,0,0,0,7,25.7058823529412,0.294117647058824,0,0,1.58823529411765,-0.162702684461906,0,1.05882352941176,1.11764705882353,8.88235294117647,0,0,0,-0.705882352941177,9.52941176470588,0.235294117647059,0.226296624395621,0,-5.18675903806339,0.0400059555612294,-0.00553447810638003,0.0561347986673781,0,0,0,0.0588235294117647,0.294117647058824
"00-0035261",2025,17,0,0,0,0,14.2352941176471,63.6470588235294,0.294117647058824,0.176470588235294,0.117647058823529,2.88235294117647,-1.2761345041449,0,1.94117647058824,2.41176470588235,12.1176470588235,0,0.0588235294117647,0.0588235294117647,0.705882352941177,11.9411764705882,0.647058823529412,-0.78847811194778,0,-1.43126984126984,0.0759539897472931,0.000527802958713451,0.114300446692039,0.117647058823529,0.117647058823529,0,0.0588235294117647,0.588235294117647
"00-0035291",2025,6,0,0,0,0,1.66666666666667,6,0,0,0,0.5,0.314912193134659,0,1.33333333333333,1.5,9.16666666666667,0,0,0,-5.66666666666667,13.8333333333333,0.333333333333333,-0.808893064088138,0,-1.05555555555555,0.0582615065141947,-0.0553374492285075,0.0486560453113367,0,0,0,0,0
"00-0035311",2025,1,0,0,0,0,3,6,0,0,0,0,-1.54209045757307,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0035537",2025,17,0,0,0,0,2.94117647058824,11.7647058823529,0.176470588235294,0,0,0.764705882352941,0.16254409766578,0,1.41176470588235,1.94117647058824,15.4705882352941,0.117647058823529,0.0588235294117647,0,-2.29411764705882,17.7058823529412,0.647058823529412,0.880729537528868,0,-0.181547619047619,0.068451060992621,-0.0210719591266612,0.0879262201002688,0.0588235294117647,0.0588235294117647,0,0.0588235294117647,0.882352941176471
"00-0035567",2025,5,0,0,0,0,0.6,0.8,0,0,0,0,-2.35838936804794,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0.2,1
"00-0035594",2025,8,0,0,0,0,0.125,-0.25,0,0,0,0,-1.36613327254169,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0.125,1.25
"00-0035628",2025,8,0,0,0,0,1.75,3.125,0,0,0,0,-1.09961117908824,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0035685",2025,17,0.0588235294117647,-0.294117647058824,0,0,9.29411764705882,42.1176470588235,0.470588235294118,0.117647058823529,0.0588235294117647,2.47058823529412,-0.0341766589793705,0.0588235294117647,1.41176470588235,1.70588235294118,11.2941176470588,0,0,0,0.705882352941177,11.7058823529412,0.647058823529412,0.195620735936433,0,0.648225732600735,0.0542712737970614,0.00184950665473687,0.0827015653539079,0,0.0588235294117647,0,0,0
"00-0035700",2025,16,0,0,0,0,15.8125,61.5,0.8125,0.1875,0.125,3.6875,-1.22706782216034,0,2.3125,2.9375,17.8125,0.0625,0,0,-1.6875,19.5,0.5,0.699975568457568,0,-1.34777777777778,0.100126910026549,-0.0359519247327055,0.12502401772693,0.0625,0.0625,0,0.0625,0.3125
"00-0035726",2025,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0036139",2025,18,0,0,0,0,13.3888888888889,60.2777777777778,0.333333333333333,0.0555555555555556,0.0555555555555556,2.88888888888889,-0.220968620232482,0,2.22222222222222,2.88888888888889,16.8333333333333,0.0555555555555556,0,0,-2.66666666666667,20.0555555555556,0.777777777777778,-0.0798133154621841,0,-1.3018189230992,0.107150684621714,-0.0291655315337934,0.140310154858916,0.111111111111111,0.166666666666667,0,0.166666666666667,1.83333333333333
"00-0036158",2025,10,0,0,0,0,15.3,77.2,0.4,0,0,3.8,0.418423681790591,0,1.1,1.4,3.7,0,0,0,-3,5.6,0,-0.498571128264302,0,-0.113333333333334,0.0458657121590991,-0.01138157281317,0.0608314672694296,0,0,0,0.1,0.5
"00-0036187",2025,11,0,0,0,0,0.181818181818182,0.363636363636364,0,0,0,0.0909090909090909,-0.26065855185152,0,0.181818181818182,0.181818181818182,2.18181818181818,0,0,0,2,0.181818181818182,0.0909090909090909,-0.0282057323153146,0,1.52380952380953,0.00608766233766234,0.010158074392289,0.0162421455810958,0,0,0,0,0
"00-0036223",2025,17,0,0,0,0,19,93.2352941176471,1.05882352941176,0.0588235294117647,0.0588235294117647,5.17647058823529,1.10421381234393,0.0588235294117647,2.70588235294118,3.23529411764706,22.2352941176471,0.117647058823529,0.0588235294117647,0,-2.64705882352941,25.5294117647059,0.882352941176471,0.577127879464577,0,-0.138598727661229,0.109785651435524,-0.0111610900003904,0.156865714153012,0.117647058823529,0.117647058823529,0,0.0588235294117647,0.882352941176471
"00-0036265",2025,6,0,0,0,0,2,10,0,0,0,0.666666666666667,-0.0344987343298272,0,0.5,0.5,3.5,0,0.166666666666667,0.166666666666667,2,1.5,0,-2.09213339310372,0,1.5,0.0153186274509804,0.00605231847175859,0.0272145641067015,0,0,0,0,0
"00-0036275",2025,18,0,0,0,0,14.1666666666667,67.6111111111111,0.555555555555556,0.111111111111111,0.111111111111111,3.72222222222222,0.691756200007869,0,2,2.77777777777778,18.7222222222222,0.0555555555555556,0,0,-1.16666666666667,21.7222222222222,0.722222222222222,0.078183622587732,0,-1.66356209150327,0.0855599583559256,-0.00586547988518927,0.124234101614256,0,0,0,0.111111111111111,1.11111111111111
"00-0036328",2025,5,0,0,0,0,5,21.2,0.2,0.2,0.2,1.2,-0.9403036835487,0,0.4,0.6,1.2,0,0,0,-1.2,3.2,0,-0.41167441685684,0,-0.361111111111111,0.0202829537612146,-0.00933766311879138,0.023888066458668,0,0,0,0,0
"00-0036360",2025,2,0,0,0,0,3.5,6.5,0,0,0,0.5,-1.33019327194779,0,1,1,4.5,0,0,0,-2,6.5,0,1.55748011422111,0,-2.25,0.0232558139534884,-0.0056980056980057,0.0308951169416285,0,0,0,0,0
"00-0036414",2025,4,0,0,0,0,1.25,4.75,0,0,0,0.25,-0.914700864057522,0,0,0.25,0,0,0,0,-1.5,0,0,-1.43015986331739,0,0,0.0104166666666667,-0.00797872340425533,0.0100398936170213,0,0,0,0.25,1.25
"00-0036425",2025,5,0,0,0,0,0.6,4.2,0,0,0,0.2,-0.278707489966115,0,0,0.2,0,0,0,0,-0.2,0,0,-0.549304613261484,0,0,0.0054054054054054,-0.000552486187845304,0.0077213677766164,0,0,0,0,0
"00-0036555",2025,16,0,0,0,0,9.1875,34.8125,0.1875,0.0625,0.0625,2.3125,-0.935947804000244,0,2,2.6875,14.75,0.1875,0,0,-2.625,19.4375,0.8125,0.0917894673177351,0,-1.16433436355311,0.0894749133382576,-0.0331330605487075,0.111019227623291,0.0625,0.0625,0,0,0
"00-0036567",2025,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,1,0,0,0,0,16,0,0,-3.36506548570469,0,0,0.0232558139534884,0.0493827160493827,0.0694516221648005,0,0,0,0,0
"00-0036569",2025,2,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0036727",2025,15,0,0,0,0,0.733333333333333,3.13333333333333,0,0,0,0.533333333333333,-0.055330273080876,0,0.4,0.6,3.53333333333333,0,0,0,0.666666666666667,2.86666666666667,0.2,0.128484903103007,0,3.62857142857143,0.0161765784135662,0.0028832885447825,0.0262831696016971,0,0,0,0,0
"00-0036755",2025,7,0,0,0,0,5.85714285714286,22.7142857142857,0.142857142857143,0,0,1,-0.243089643487137,0,0.428571428571429,0.571428571428571,1.14285714285714,0,0,0,-0.142857142857143,1.14285714285714,0.142857142857143,-1.61643091065343,0,-8,0.0150375939849624,-0.000361663652802893,0.0223032264204816,0,0,0,0,0
"00-0036842",2025,10,0,0,0,0,1.3,4.9,0,0,0,0.2,-1.59113972753403,0,0,0.1,0,0,0,0,-0.6,0,0,-0.847366844303906,0,0,0.00454545454545455,-0.00821917808219178,0.00106475716064757,0,0,0,0,0
"00-0036875",2025,18,0,0,0,0,10.4444444444444,45.5555555555556,0.388888888888889,0.111111111111111,0.111111111111111,2.22222222222222,-1.43272103108628,0.0555555555555556,2.44444444444444,2.88888888888889,26.1666666666667,0.166666666666667,0.0555555555555556,0.0555555555555556,9.33333333333333,22.3888888888889,0.944444444444444,1.02141418083696,0.0555555555555556,2.58538115846255,0.105663539824003,0.0389736791641122,0.185776885150884,0,0,0,0,0
"00-0036893",2025,3,0,0,0,0,5,20.3333333333333,0,0,0,1,-0.112942930233354,0,1,1,8.33333333333333,0,0,0,3.33333333333333,5,0.333333333333333,0.655914956005291,0,2.5,0.0344952795933188,0.0117038954398747,0.0599356461978905,0,0,0,0,0
"00-0036906",2025,5,0,0,0,0,3.2,10.4,0,0,0,0.4,-0.755094164410064,0,0.2,0.8,0.8,0,0,0,-2.6,1.8,0,-1.35227938124444,0,-0.222222222222222,0.0306818181818182,-0.0241942247089845,0.0290867699764381,0,0,0,0,0
"00-0036919",2025,18,0,0,0,0,6.66666666666667,30.9444444444444,0.277777777777778,0.0555555555555556,0,2.05555555555556,-0.123502718161462,0,4.27777777777778,5.05555555555556,28.4444444444444,0.166666666666667,0.0555555555555556,0.0555555555555556,-0.555555555555556,30.6666666666667,1.27777777777778,0.0044895772126534,0,-7.6549403193425,0.164720712635997,-0.0122662156485821,0.238494717999988,0.0555555555555556,0.0555555555555556,0,0.0555555555555556,0.277777777777778
"00-0036924",2025,13,0,0,0,0,7.07692307692308,25.6153846153846,0.0769230769230769,0,0,1.53846153846154,-0.526759573175625,0,2.53846153846154,3.46153846153846,20.5384615384615,0,0,0,5.76923076923077,19.7692307692308,0.923076923076923,0.168630862164586,0,0.246074380165292,0.091741631940296,0.0153659199286327,0.148368591860487,0,0,0,0,0
"00-0036950",2025,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0036973",2025,18,0,0,0,0,15,65.2222222222222,0.388888888888889,0,0,3,-0.905905094467402,0,2.27777777777778,3.16666666666667,18.9444444444444,0.388888888888889,0,0,-3.83333333333333,21.1666666666667,0.944444444444444,0.766025751638353,0,0.145928300094967,0.101469080066401,-0.0143646725874493,0.142148349288386,0,0,0,0,0
"00-0036984",2025,3,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0.333333333333333,3.33333333333333
"00-0036997",2025,16,0,0,0,0,15.75,75.0625,0.6875,0.0625,0.0625,4.25,0.762812733630279,0,2.1875,3.1875,8.5625,0.125,0.0625,0.0625,-4.1875,12.875,0.4375,-1.51581794367591,0,-0.529931972789116,0.085971385640071,-0.0146129962040909,0.118727981117243,0.0625,0.0625,0,0.0625,0.3125
"00-0037085",2025,18,0,0,0,0,0.5,1.5,0,0,0,0.111111111111111,-0.631001740929723,0,1.11111111111111,1.83333333333333,8.22222222222222,0,0,0,-2.22222222222222,12,0.5,-0.0350846222798201,0,-1.26089366982224,0.0500538708707918,-0.0339795054272621,0.0512951525071042,0,0,0,0.111111111111111,0.555555555555556
"00-0037120",2025,10,0,0,0,0,0.9,2.4,0,0,0,0,-0.596340118069201,0,0.2,0.3,0.8,0,0,0,-0.3,1,0,-0.472983100829878,0,-2,0.00729166666666667,-0.000782451780854337,0.010389783753402,0,0,0,0,0
"00-0037157",2025,12,0,0,0,0,6.83333333333333,22.4166666666667,0.333333333333333,0.0833333333333333,0.0833333333333333,1.83333333333333,-1.63875326097622,0,1.83333333333333,2.58333333333333,13.3333333333333,0.0833333333333333,0,0,3.08333333333333,12.5833333333333,0.833333333333333,0.156074151325609,0,-1.2468660968661,0.0633088327197154,0.00950970758260545,0.101620044387397,0,0,0,0,0
"00-0037197",2025,13,0,0,0,0,9.07692307692308,35.5384615384615,0.0769230769230769,0,0,2.23076923076923,-1.04949175972545,0,1.46153846153846,2,7.76923076923077,0.0769230769230769,0,0,-2.07692307692308,9.30769230769231,0.307692307692308,-0.519770364383097,0,3.64761904761905,0.0679882157449681,-0.00606738066358211,0.0977351571529447,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.384615384615385
"00-0037228",2025,17,0,0,0,0,13.1176470588235,58.8823529411765,0.352941176470588,0.0588235294117647,0,3.29411764705882,-0.245479543950163,0,2.41176470588235,2.70588235294118,19.8235294117647,0.117647058823529,0,0,-6.41176470588235,25.8235294117647,0.764705882352941,0.684162603972499,0,-0.331490594751464,0.0920504149141619,-0.0415739575892575,0.108973852058762,0,0,0,0,0
