"player_id","season","player_display_name","games","sacks_suffered_pg","sack_yards_lost_pg","sack_fumbles_pg","sack_fumbles_lost_pg","carries_pg","rushing_yards_pg","rushing_tds_pg","rushing_fumbles_pg","rushing_fumbles_lost_pg","rushing_first_downs_pg","rushing_epa_pg","rushing_2pt_conversions_pg","receptions_pg","targets_pg","receiving_yards_pg","receiving_tds_pg","receiving_fumbles_pg","receiving_fumbles_lost_pg","receiving_air_yards_pg","receiving_yards_after_catch_pg","receiving_first_downs_pg","receiving_epa_pg","receiving_2pt_conversions_pg","racr_pg","target_share_pg","air_yards_share_pg","wopr_pg","fumble_recovery_own_pg","fumble_recovery_yards_own_pg","fumble_recovery_tds_pg","penalties_pg","penalty_yards_pg"
"00-0032398",2025,"Chris Moore",10,0,0,0,0,0.1,0.9,0,0,0,0,0.725056131137535,0,1.1,2.3,20.7,0.1,0,0,33.2,5.3,1,1.53535374878346,0,0.787602172519215,0.0903728627237839,0.137340276350806,0.23169748753124,0,0,0,0,0
"00-0032464",2025,"Kalif Raymond",15,0,0,0,0,0.133333333333333,1.26666666666667,0,0,0,0.0666666666666667,0.777573269733693,0,1.6,2,19.2666666666667,0.0666666666666667,0,0,11.2666666666667,10.4666666666667,0.933333333333333,1.26709025148694,0,1.7414277466008,0.0599270287419108,0.0498482925970409,0.124784347930795,0,0,0,0.0666666666666667,0.4
"00-0032688",2025,"Robbie Chosen",3,0,0,0,0,0,0,0,0,0,0,NA,0,1.66666666666667,3,17.6666666666667,0,0,0,43.6666666666667,1.66666666666667,0.666666666666667,-0.0903719590472373,0,0.450059737156513,0.115111066167796,0.151950044867022,0.279031630658609,0,0,0,0,0
"00-0032775",2025,"Demarcus Robinson",14,0,0,0,0,0.0714285714285714,0.428571428571429,0,0,0,0,0.316402049735188,0,1.57142857142857,2.5,19.7142857142857,0.0714285714285714,0,0,33.7142857142857,2.57142857142857,1.07142857142857,0.540823875930831,0.0714285714285714,0.567081722451835,0.0757834852696854,0.142572431144537,0.213475929705704,0,0,0,0,0
"00-0032951",2025,"Laquon Treadwell",6,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,0
"00-0033040",2025,"Tyreek Hill",4,0,0,0,0,0,0,0,0,0,0,NA,0,5.25,7.25,66.25,0.25,0,0,99.75,14.25,4.25,4.95864875268308,0,0.835799340037712,0.238832172531769,0.470747583661749,0.687771567360879,0,0,0,0,0
"00-0033282",2025,"Curtis Samuel",6,0,0,0,0,0,0,0,0,0,0,NA,0,1.16666666666667,1.5,13.5,0.166666666666667,0,0,24.1666666666667,4.5,0.833333333333333,1.76119698770344,0,1.23677716483395,0.0538694638694639,0.0863332222241394,0.141237451361093,0,0,0,0,0
"00-0033307",2025,"Kendrick Bourne",14,0,0,0,0,0,0,0,0,0,0,NA,0,2.64285714285714,3.78571428571429,39.3571428571429,0,0,0,41.7142857142857,11.7857142857143,1.92857142857143,1.46763395640435,0,0.828492630031136,0.10798568563763,0.147985622999173,0.265568464555867,0,0,0,0.142857142857143,1.07142857142857
"00-0033375",2025,"Tim Patrick",13,0,0,0,0,0,0,0,0,0,0,NA,0,1.15384615384615,1.84615384615385,14.3846153846154,0.230769230769231,0,0,19.8461538461538,4.15384615384615,0.769230769230769,0.438192574001989,0,1.3257392007392,0.0619755314328104,0.0687024207653396,0.141054991684953,0,0,0,0.230769230769231,1.92307692307692
"00-0033555",2025,"Mack Hollins",14,0,0,0,0,0.0714285714285714,0.285714285714286,0,0,0,0,-0.224169542314485,0,3.28571428571429,4.64285714285714,39.2857142857143,0.142857142857143,0.0714285714285714,0,60.7857142857143,7.71428571428571,2.07142857142857,1.9428994213619,0,0.762801983485056,0.162490119167925,0.206399179521077,0.388214604416642,0,0,0,0.0714285714285714,0.714285714285714
"00-0033572",2025,"Jamal Agnew",11,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0.0909090909090909,0.0909090909090909,0,0,0
"00-0033589",2025,"David Moore",3,0,0,0,0,0.333333333333333,4,0,0,0,0.333333333333333,1.035383395385,0,0.333333333333333,0.333333333333333,1.66666666666667,0,0,0,1.66666666666667,0,0,-0.3032329112757,0,1,0.0138888888888889,0.012531328320802,0.0296052631578947,0,0,0,0,0
"00-0033591",2025,"Noah Brown",4,0,0,0,0,0,0,0,0,0,0,NA,0,1.25,2.5,20.75,0,0,0,36.25,2.75,0.75,0.571006433725416,0,0.710572242706556,0.0914870689655173,0.161118030472869,0.250013224779284,0,0,0,0.25,1.25
"00-0033857",2025,"JuJu Smith-Schuster",17,0,0,0,0,0,0,0,0,0,0,NA,0,1.94117647058824,2.64705882352941,20.2941176470588,0.0588235294117647,0,0,14.3529411764706,11.2352941176471,1.11764705882353,0.16381722512306,0,1.53015343307001,0.0862733968113239,0.0597792352381504,0.171255559883691,0.0588235294117647,0.0588235294117647,0,0.176470588235294,2.05882352941176
"00-0033891",2025,"Zay Jones",6,0,0,0,0,0,0,0,0,0,0,NA,0,2,3,30.5,0,0,0,40.1666666666667,6,1.16666666666667,0.933753509540112,0,0.80535952619286,0.0848995100009299,0.142228734984404,0.226909379490478,0,0,0,0.166666666666667,2.5
"00-0033908",2025,"Cooper Kupp",16,0,0,0,0,0,0,0,0,0,0,NA,0,2.9375,4.375,37.0625,0.125,0.0625,0.0625,32.8125,18.3125,1.625,0.477409355807455,0.0625,1.86222362122812,0.159878418027322,0.142358592741972,0.339468641960363,0.0625,0.0625,0,0.0625,0.3125
"00-0033921",2025,"Chris Godwin Jr.",9,0,0,0,0,0,0,0,0,0,0,NA,0,3.66666666666667,5.66666666666667,40,0.222222222222222,0,0,40.1111111111111,22.8888888888889,2.33333333333333,1.63334413114708,0.111111111111111,1.50247071239387,0.179109691085497,0.157395211087818,0.378841184389719,0,0,0,0,0
