"player_key","games","fumbles_rec","fumbles_lost","fumbles_fum","interceptions_td","interceptions_yds","interceptions_int","receiving_td","receiving_yds","receiving_rec","rushing_td","rushing_yds","rushing_car","receiving_long","rushing_long","receiving_avg","rushing_avg","nfl_player_id","nfl_name","nfl_rookie_season","avg_weekly_ppr","n_weeks"
"a j brown",12,0,0,1,0,0,0,6,1355,85,0,0,0,84,NA,15.9411764705882,NA,"00-0035676","A.J. Brown",2019,12.0736842105263,19
"a t perry",12,0,0,0,0,0,0,11,980,70,0,0,0,68,NA,14,NA,"00-0038612","A.T. Perry",2023,7.575,8
"adonai mitchell",13,0,0,1,0,0,0,10,813,51,0,1,2,62,5,15.9411764705882,0.5,"00-0039890","Adonai Mitchell",2024,3.16235294117647,17
"ainias smith",12,0,0,5,0,0,0,2,795,53,0,21,5,42,11,15,4.2,"00-0039747","Ainias Smith",2024,5.9,3
"alec pierce",13,0,0,0,0,0,0,8,867,50,0,0,0,53,NA,17.34,NA,"00-0037664","Alec Pierce",2022,7.01875,16
"alex bachman",10,0,0,0,0,0,0,6,370,30,0,0,0,38,NA,12.3333333333333,NA,"00-0035602","Alex Bachman",2021,-0.15,2
"alexander hollins",1,0,0,0,0,0,0,3,127,9,0,0,0,43,NA,14.1111111111111,NA,"00-0035104","Alexander Hollins",2019,2.2,3
"allen lazard",12,0,0,0,0,0,0,9,799,61,0,0,0,36,NA,13.0983606557377,NA,"00-0034521","Allen Lazard",2018,1.7,1
"amara darboh",12,0,0,0,0,0,0,7,826,52,0,0,0,46,NA,15.8846153846154,NA,"00-0033937","Amara Darboh",2017,1.8875,8
"amari rodgers",10,0,1,2,0,0,0,6,845,61,0,0,0,83,NA,13.8524590163934,NA,"00-0036991","Amari Rodgers",2021,0.564705882352941,17
"amon ra st brown",4,0,0,0,0,0,0,4,331,26,0,0,0,48,NA,12.7307692307692,NA,"00-0036963","Amon-Ra St. Brown",2021,14.20625,16
"andre baccellia",10,0,0,0,0,0,0,3,280,26,1,35,4,50,12,10.7692307692308,8.75,"00-0035876","Andre Baccellia",2022,2.3,5
"andre patton",10,0,1,1,0,0,0,5,460,33,0,0,0,68,NA,13.9393939393939,NA,"00-0033705","Andre Patton",2019,1.45,8
"andrei iosivas",10,0,0,1,0,0,0,7,943,66,0,10,4,65,12,14.2878787878788,2.5,"00-0038619","Andrei Iosivas",2023,4.6,11
"andy isabella",11,0,2,2,0,0,0,13,1697,101,1,79,11,89,17,16.8019801980198,7.18181818181818,"00-0035527","Andy Isabella",2019,2.95,12
"anthony gould",11,0,1,2,0,0,0,2,718,44,0,22,4,75,11,16.3181818181818,5.5,"00-0039816","Anthony Gould",2024,0.4125,8
"anthony miller",12,0,1,2,0,0,0,17,1407,92,0,27,9,89,7,15.2934782608696,3,"00-0034353","Anthony Miller",2018,7.91375,16
"anthony schwartz",9,0,0,1,0,0,0,3,620,49,0,-6,4,91,1,12.6530612244898,-1.5,"00-0036999","Anthony Schwartz",2021,2.56923076923077,13
"antoine green",9,0,0,0,0,0,0,7,798,43,0,0,0,80,NA,18.5581395348837,NA,"00-0038627","Antoine Green",2023,0.6,2
"antoine wesley",12,0,0,0,0,0,0,9,1410,88,0,-2,1,66,0,16.0227272727273,-2,"00-0035126","Antoine Wesley",2021,6.64444444444444,9
"antonio callaway",11,0,1,4,0,0,0,3,666,47,1,26,4,78,24,14.1702127659574,6.5,"00-0034772","Antonio Callaway",2018,8.26875,16
"antonio gandy golden",12,0,0,0,0,0,0,9,1333,74,0,0,0,73,NA,18.0135135135135,NA,"00-0036340","Antonio Gandy-Golden",2020,0.875,4
"ardarius stewart",10,0,1,1,0,0,0,8,852,52,0,33,5,71,17,16.3846153846154,6.6,"00-0033916","ArDarius Stewart",2017,1.40833333333333,12
"arian smith",12,0,0,1,0,0,0,4,709,42,0,41,4,55,30,16.8809523809524,10.25,"00-0040582","Arian Smith",2025,1.03846153846154,13
"auden tate",11,0,0,0,0,0,0,7,464,35,0,0,0,51,NA,13.2571428571429,NA,"00-0034686","Auden Tate",2018,1.5,5
"austin carr",12,0,0,0,0,0,0,12,1196,84,0,0,0,58,NA,14.2380952380952,NA,"00-0033382","Austin Carr",2018,3.22,10
"austin mack",8,0,0,0,0,0,0,3,273,20,0,0,0,38,NA,13.65,NA,"00-0035869","Austin Mack",2020,3.22,5
"austin trammell",3,0,2,2,0,0,0,6,335,16,0,0,0,72,NA,20.9375,NA,"00-0036841","Austin Trammell",2022,1.65,2
"beaux collins",11,0,1,1,0,0,0,2,427,34,0,0,0,53,NA,12.5588235294118,NA,"00-0040432","Beaux Collins",2025,1.125,4
"ben skowronek",7,0,1,1,0,0,0,5,344,21,1,13,1,73,13,16.3809523809524,13,"00-0036862","Ben Skowronek",2021,1.83333333333333,15
"brandon aiyuk",12,0,0,1,0,0,0,8,1192,65,0,6,1,86,6,18.3384615384615,6,"00-0036261","Brandon Aiyuk",2020,15.375,12
"brandon johnson",1,0,0,0,0,0,0,0,18,2,0,0,0,11,NA,9,NA,"00-0037382","Brandon Johnson",2022,3.24,5
"brandon powell",11,0,2,3,0,0,0,3,406,42,1,15,4,31,6,9.66666666666667,3.75,"00-0034646","Brandon Powell",2018,4.05,6
"braxton berrios",12,0,0,0,0,0,0,9,625,51,0,9,1,55,9,12.2549019607843,9,"00-0034419","Braxton Berrios",2019,1.09375,16
"braylon sanders",10,0,0,0,0,0,0,3,512,23,0,6,1,68,6,22.2608695652174,6,"00-0037355","Braylon Sanders",2022,0.85,2
"brian thomas jr",12,0,0,2,0,0,0,15,1079,60,0,-6,1,86,0,17.9833333333333,-6,"00-0039893","Brian Thomas Jr.",2024,16.7058823529412,17
"britain covey",13,0,0,2,0,0,0,2,480,49,0,89,12,33,20,9.79591836734694,7.41666666666667,"00-0037132","Britain Covey",2022,0,20
"bryan edwards",10,0,0,0,0,0,0,6,816,71,0,22,2,75,15,11.4929577464789,11,"00-0036365","Bryan Edwards",2020,4.03333333333333,9
"bryce oliver",11,0,1,1,0,0,0,7,759,53,0,0,0,71,NA,14.3207547169811,NA,"00-0039650","Bryce Oliver",2024,1.9375,8
"brycen tremayne",12,0,0,0,0,0,0,3,490,38,0,0,0,37,NA,12.8947368421053,NA,"00-0038840","Brycen Tremayne",2024,0.4,2
"byron pringle",11,0,1,1,0,0,0,6,705,28,0,15,1,60,15,25.1785714285714,15,"00-0034297","Byron Pringle",2019,2.5,14
"c j board",1,0,1,1,0,0,0,0,53,3,0,0,0,31,NA,17.6666666666667,NA,"00-0033367","C.J. Board",2019,2.55,2
"c j saunders",8,0,1,1,0,0,0,0,73,10,0,8,0,19,8,7.3,NA,"00-0036910","C.J. Saunders",2021,3.1,1
"cade johnson",1,0,0,1,0,0,0,0,90,6,0,25,1,19,25,15,25,"00-0036810","Cade Johnson",2022,3.66666666666667,3
"calvin austin iii",12,0,1,1,0,0,0,8,1149,74,1,69,1,75,69,15.527027027027,69,"00-0037837","Calvin Austin III",2023,3.55294117647059,17
"calvin ridley",12,0,0,0,0,0,0,3,896,55,0,17,2,78,13,16.2909090909091,8.5,"00-0034837","Calvin Ridley",2018,12.925,16
"cam phillips",12,0,1,1,0,0,0,7,964,71,0,10,1,45,10,13.5774647887324,10,"00-0034512","Cam Phillips",2018,0.95,2
"cam sims",10,0,0,0,0,0,0,1,194,13,0,0,0,60,NA,14.9230769230769,NA,"00-0034104","Cam Sims",2019,1.56666666666667,3
"cameron batson",12,0,0,5,0,0,0,5,464,55,0,19,5,30,7,8.43636363636364,3.8,"00-0034652","Cameron Batson",2018,2.0375,8
"casey washington",12,0,0,0,0,0,0,4,670,49,0,0,0,80,NA,13.6734693877551,NA,"00-0039394","Casey Washington",2024,1.2,2
