player_id,player_display_name,season,games,overall,round,pick,height,weight,pre_draft_ranking,pre_draft_position_ranking,pre_draft_grade,carries_pg,rushing_yards_pg,rushing_tds_pg,receptions_pg,receiving_yards_pg,receiving_tds_pg,fumble_recovery_own_pg,rushing_fumbles_lost_pg,rushing_fumbles_pg,target_fp_ppr,target_games,college_flag
00-0016440,James Thrash,2007,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,11.8888888888889,0.222222222222222,0,0,0,1.925,12,0
00-0016550,Amani Toomer,2004,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.4,49.8,0,0,0,0,11.03125,16,0
00-0016550,Amani Toomer,2005,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,3.9375,44.6875,0.4375,0,0,0,10.75,8,0
00-0016550,Amani Toomer,2006,8,NA,NA,NA,NA,NA,NA,NA,NA,0.125,0,0,4,45,0.375,0,0,0,11.5789473684211,19,0
00-0016550,Amani Toomer,2007,19,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.21052631578947,54.7368421052632,0.315789473684211,0,0,0,8.4125,16,0
00-0017162,Hines Ward,2004,18,92,3,31,NA,NA,NA,NA,NA,0.388888888888889,1.38888888888889,0.0555555555555556,5.27777777777778,67.6666666666667,0.333333333333333,0,0,0,15.4052631578947,19,0
00-0017162,Hines Ward,2005,19,92,3,31,NA,NA,NA,NA,NA,0.263157894736842,1.68421052631579,0,4.42105263157895,65,0.736842105263158,0,0.0526315789473684,0.0526315789473684,14.8928571428571,14,0
00-0017162,Hines Ward,2006,14,92,3,31,NA,NA,NA,NA,NA,0.142857142857143,2.14285714285714,0,5.28571428571429,69.6428571428571,0.428571428571429,0,0,0,15.2714285714286,14,0
00-0017162,Hines Ward,2007,14,92,3,31,NA,NA,NA,NA,NA,0.142857142857143,0.5,0,5.85714285714286,62.2142857142857,0.5,0,0,0,13.3947368421053,19,0
00-0017162,Hines Ward,2008,19,92,3,31,NA,NA,NA,NA,NA,0,0,0,4.78947368421053,63.9473684210526,0.368421052631579,0,0,0,15.35625,16,0
00-0017162,Hines Ward,2009,16,92,3,31,NA,NA,NA,NA,NA,0,0,0,5.9375,72.9375,0.375,0,0,0,10.4210526315789,19,0
00-0017162,Hines Ward,2010,19,92,3,31,NA,NA,NA,NA,NA,0.0526315789473684,-0.105263157894737,0,3.73684210526316,45.8947368421053,0.368421052631579,0,0,0,6.27333333333333,15,0
00-0017611,Alvis Whitted,2004,8,192,7,3,NA,NA,NA,NA,NA,0,0,0,1.125,28.375,0.25,0,0,0,4.15555555555556,9,0
00-0017611,Alvis Whitted,2005,9,192,7,3,NA,NA,NA,NA,NA,0.222222222222222,5.66666666666667,0,1.55555555555556,20.3333333333333,0,0,0,0,4.25384615384615,13,0
00-0018958,Laveranues Coles,2004,16,78,3,16,NA,NA,NA,NA,NA,0.1875,-0.1875,0,5.625,59.375,0.0625,0,0,0,11.71875,16,0
00-0018958,Laveranues Coles,2005,16,78,3,16,NA,NA,NA,NA,NA,0,0,0,4.5625,52.8125,0.3125,0,0,0,14.5705882352941,17,0
00-0018958,Laveranues Coles,2006,17,78,3,16,NA,NA,NA,NA,NA,0.117647058823529,0.823529411764706,0,5.64705882352941,67.2352941176471,0.352941176470588,0.0588235294117647,0,0,14.1454545454545,11,0
00-0018958,Laveranues Coles,2007,11,78,3,16,NA,NA,NA,NA,NA,0,0,0,5,58.7272727272727,0.545454545454545,0,0,0,12.36875,16,0
00-0018958,Laveranues Coles,2008,16,78,3,16,NA,NA,NA,NA,NA,0.125,0.5625,0,4.375,53.125,0.4375,0,0,0,8.7625,16,0
00-0019242,Dane Looker,2004,7,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,1.57142857142857,0,2.28571428571429,31.5714285714286,0,0,0,0,3.96363636363636,11,0
00-0019242,Dane Looker,2005,11,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,19.6363636363636,0,0,0,0,0.13,10,0
00-0019242,Dane Looker,2006,10,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.3,0,0,0,0,0,0,0,1.08888888888889,9,0
00-0019242,Dane Looker,2007,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.666666666666667,4.22222222222222,0,0.222222222222222,0,0,5.065,12,0
00-0019281,Mike Furrey,2004,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.142857142857143,1.14285714285714,0,0,0,0,0,14,0
00-0019281,Mike Furrey,2005,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0714285714285714,0,0,15.0375,16,0
00-0019281,Mike Furrey,2006,16,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,6.125,67.875,0.375,0,0,0,8.89333333333333,15,0
00-0019281,Mike Furrey,2007,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,4.06666666666667,44.2666666666667,0.0666666666666667,0,0,0,5.15714285714286,7,0
00-0019281,Mike Furrey,2008,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2.57142857142857,25.8571428571429,0,0,0,0,2.5,16,0
00-0019302,Bryan Gilmore,2004,13,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1.15384615384615,15.8461538461538,0.0769230769230769,0,0,0,2.38888888888889,9,0
00-0019302,Bryan Gilmore,2005,9,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.555555555555556,11.6666666666667,0.111111111111111,0,0,0,3.03333333333333,12,0
00-0019302,Bryan Gilmore,2006,12,NA,NA,NA,NA,NA,NA,NA,NA,0.583333333333333,7.83333333333333,0,0.666666666666667,12.5,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,2.47142857142857,7,0
00-0019505,Charles Lee,2004,6,242,7,36,NA,NA,NA,NA,NA,0,0,0,2.5,34.5,0,0,0,0,4.36666666666667,6,0
00-0019539,Dante Hall,2004,16,153,5,24,NA,NA,NA,NA,NA,0.5,3.5,0,1.5625,14.375,0,0,0,0,6.41875,16,0
00-0019539,Dante Hall,2005,16,153,5,24,NA,NA,NA,NA,NA,0.4375,0.6875,0,2.125,27.25,0.1875,0.125,0,0,4.38125,16,0
00-0019539,Dante Hall,2006,16,153,5,24,NA,NA,NA,NA,NA,0.3125,1.5625,0,1.75,13.5,0.125,0,0,0,2.21428571428571,7,0
00-0019539,Dante Hall,2007,7,153,5,24,NA,NA,NA,NA,NA,0.428571428571429,2.57142857142857,0,0.714285714285714,3.85714285714286,0,0.142857142857143,0,0,2.925,8,0
00-0019552,Troy Walters,2004,6,165,5,36,NA,NA,NA,NA,NA,0,0,0,0.166666666666667,0.833333333333333,0,0,0,0,2.95,16,0
00-0019552,Troy Walters,2005,16,165,5,36,NA,NA,NA,NA,NA,0,0,0,0.875,9.5,0.1875,0.0625,0,0,3.72666666666667,15,0
00-0019552,Troy Walters,2006,15,165,5,36,NA,NA,NA,NA,NA,0,0,0,1.53333333333333,13.9333333333333,0.133333333333333,0.0666666666666667,0,0,1.93076923076923,13,0
00-0019600,Michael L. Lewis,2004,14,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.571428571428571,9.07142857142857,0,0,0,0,0,2,0
00-0019600,Michael L. Lewis,2006,12,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0833333333333333,0,0,0,13,0
00-0019642,Plaxico Burress,2004,13,8,1,8,NA,NA,NA,NA,NA,0,0,0,3.07692307692308,58.6923076923077,0.461538461538462,0.0769230769230769,0,0,13.9647058823529,17,0
00-0019642,Plaxico Burress,2005,17,8,1,8,NA,NA,NA,NA,NA,0,0,0,4.47058823529412,71.4117647058823,0.411764705882353,0,0,0,15.35625,16,0
00-0019642,Plaxico Burress,2006,16,8,1,8,NA,NA,NA,NA,NA,0,0,0,4.25,67.3125,0.75,0.0625,0,0,14.545,20,0
